"cooc_bin","empirical_n_links","empirical_mean_interacting_sites","empirical_median_interacting_sites","empirical_q95_interacting_sites","empirical_mean_repeatability","empirical_median_repeatability","empirical_proportion_single_site_links","model_n_links_median","model_mean_interacting_sites_q025","model_mean_interacting_sites_q500","model_mean_interacting_sites_q975","model_mean_repeatability_q025","model_mean_repeatability_q500","model_mean_repeatability_q975","model_prop_single_q025","model_prop_single_q500","model_prop_single_q975","enough_empirical_links","empirical_repeatability_above_model","empirical_repeatability_below_model","empirical_interacting_sites_above_model","empirical_interacting_sites_below_model","empirical_single_site_below_model","empirical_single_site_above_model"
"1",184,1,1,1,1,1,1,183,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",137,1.35036496350365,1,2,0.675182481751825,0.5,0.64963503649635,114,1.02458024854574,1.06306306306306,1.11293778801843,0.512290124272871,0.531531531531532,0.556468894009217,0.887062211981567,0.936936936936937,0.975419751454257,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"3-5",244,2.04508196721311,2,4,0.556489071038251,0.5,0.397540983606557,226,1.13550454660268,1.18666666666667,1.24657687818662,0.309936294422982,0.324050218860025,0.33997936040698,0.777765647743814,0.829694323144105,0.876147881170817,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"6-10",219,3.79452054794521,3,8,0.49830035514967,0.5,0.191780821917808,220,1.38706061044409,1.47887137661193,1.575373318524,0.184177026939326,0.195701967818647,0.208684800571172,0.559214151879202,0.628766915992909,0.687839485827291,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"11-20",125,7,7,13,0.507980931521179,0.5,0.112,129,1.82113214415726,2,2.19658469945355,0.135331541335919,0.148086858782166,0.162074120819187,0.31782022886674,0.396825396825397,0.475438652663934,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"21+",30,17.6666666666667,18,31.1,0.670634410513142,0.725853658536585,0.0333333333333333,29,2.71402116402116,3.26666666666667,3.82158251231527,0.104915112130869,0.126117034015745,0.148368281682112,0.0344827586206897,0.137931034482759,0.285714285714286,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
