"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability"
"Sapyga.quinquepunctata","Osmia.leaiana",1,1,1
"Sapygina.decemguttata","Heriades.truncorum",4,4,1
"Trichrysis.cyanea","Ancistrocerus.nigricornis",1,15,0.0666666666666667
"Trichrysis.cyanea","Dipogon.subintermedius",5,7,0.714285714285714
"Trichrysis.cyanea","Eumenidae.spec",1,25,0.04
"Trichrysis.cyanea","Hylaeus.communis",1,4,0.25
"Trichrysis.cyanea","Megachile.versicolor",1,7,0.142857142857143
"Trichrysis.cyanea","Trypoxylon.clavicerum",15,15,1
"Trichrysis.cyanea","Trypoxylon.minus",1,1,1
"Trichrysis.cyanea","Trypoxylon.spec",17,22,0.772727272727273
"V1","Agenioideus.cinctellus",1,1,1
"V1","Hylaeus.communis",2,2,1
"V1","Megachile.alpicola",1,1,1
"V1","Osmia.rufa",1,3,0.333333333333333
"V1","Osmia.spec",1,1,1
"indet","Euodynerus.quadrifasciatus",1,1,1
"indet","Heriades.truncorum",1,1,1
"indet","Trypoxylon.spec",3,4,0.75
"mites","Ancistrocerus.antilope",1,1,1
"mites","Osmia.brevicornis",2,2,1
"mites","Osmia.leaiana",1,2,0.5
"mites","Osmia.rufa",2,3,0.666666666666667
"mites","Osmia.spec",2,3,0.666666666666667
