"","species","trophic_level","sites"
"129","Plant1","resource",7
"136","Plant2","resource",8
"144","Plant3","resource",8
"152","Plant4","resource",7
"159","Plant5","resource",7
"166","Plant6","resource",6
"172","Plant8","resource",5
"177","Plant9","resource",5
"182","Plant11","resource",5
"187","Plant12","resource",4
"232","Plant10","resource",3
"256","Plant13","resource",2
"258","Plant14","resource",1
"293","Plant7","resource",1
