"","species","interactions","outdegree","rep"
"199","Plant11",12,6,15
"200","Plant12",3,7,15
"201","Plant13",3,4,15
"202","Plant14",1,1,15
"203","Plant2",50,14,15
"204","Plant3",27,9,15
"205","Plant4",11,11,15
"206","Plant5",3,13,15
"207","Plant6",22,8,15
"208","Plant7",6,1,15
"209","Plant8",9,8,15
"210","Plant9",6,4,15
"211","Plant1",6,51,16
"212","Plant10",4,5,16
"213","Plant11",12,5,16
"214","Plant12",3,8,16
"215","Plant13",3,3,16
"216","Plant14",1,1,16
"217","Plant2",50,16,16
"218","Plant3",27,13,16
"219","Plant4",11,7,16
"220","Plant5",3,10,16
"221","Plant6",22,4,16
"222","Plant7",6,1,16
"223","Plant8",9,12,16
"224","Plant9",6,6,16
"225","Plant1",6,38,17
"226","Plant10",4,5,17
"227","Plant11",12,10,17
"228","Plant12",3,4,17
"229","Plant13",3,1,17
"230","Plant14",1,4,17
"231","Plant2",50,13,17
"232","Plant3",27,14,17
"233","Plant4",11,13,17
"234","Plant5",3,16,17
"235","Plant6",22,15,17
"236","Plant7",6,3,17
"237","Plant8",9,13,17
"238","Plant9",6,9,17
"239","Plant1",6,45,18
"240","Plant10",4,6,18
"241","Plant11",12,10,18
"242","Plant12",3,7,18
"243","Plant13",3,4,18
"244","Plant14",1,1,18
"245","Plant2",50,18,18
"246","Plant3",27,18,18
"247","Plant4",11,13,18
"248","Plant5",3,12,18
"249","Plant6",22,3,18
"250","Plant7",6,1,18
"251","Plant8",9,6,18
"252","Plant9",6,7,18
"253","Plant1",6,48,19
"254","Plant10",4,4,19
"255","Plant11",12,15,19
"256","Plant12",3,7,19
"257","Plant13",3,2,19
"258","Plant14",1,3,19
"259","Plant2",50,13,19
"260","Plant3",27,9,19
"261","Plant4",11,14,19
"262","Plant5",3,10,19
"263","Plant6",22,11,19
"264","Plant7",6,2,19
"265","Plant8",9,14,19
"266","Plant9",6,9,19
"267","Plant1",6,47,20
"268","Plant10",4,4,20
"269","Plant11",12,11,20
"270","Plant12",3,6,20
"271","Plant13",3,6,20
"272","Plant14",1,4,20
"273","Plant2",50,14,20
"274","Plant3",27,11,20
"275","Plant4",11,9,20
"276","Plant5",3,11,20
"277","Plant6",22,8,20
"278","Plant7",6,0,20
"279","Plant8",9,13,20
"280","Plant9",6,6,20
"281","Plant1",6,44,21
"282","Plant10",4,3,21
"283","Plant11",12,5,21
"284","Plant12",3,5,21
"285","Plant13",3,5,21
"286","Plant14",1,4,21
"287","Plant2",50,10,21
"288","Plant3",27,12,21
"289","Plant4",11,8,21
"290","Plant5",3,10,21
"291","Plant6",22,17,21
"292","Plant7",6,4,21
"293","Plant8",9,7,21
"294","Plant9",6,11,21
"295","Plant1",6,40,22
"296","Plant10",4,6,22
"297","Plant11",12,9,22
"298","Plant12",3,7,22
"299","Plant13",3,4,22
"300","Plant14",1,3,22
"301","Plant2",50,19,22
"302","Plant3",27,7,22
"303","Plant4",11,15,22
"304","Plant5",3,10,22
"305","Plant6",22,12,22
"306","Plant7",6,1,22
"307","Plant8",9,12,22
"308","Plant9",6,7,22
"309","Plant1",6,41,23
"310","Plant10",4,5,23
"311","Plant11",12,10,23
"312","Plant12",3,7,23
"313","Plant13",3,3,23
"314","Plant14",1,3,23
"315","Plant2",50,12,23
"316","Plant3",27,19,23
"317","Plant4",11,10,23
"318","Plant5",3,15,23
"319","Plant6",22,5,23
"320","Plant7",6,2,23
"321","Plant8",9,10,23
"322","Plant9",6,10,23
"323","Plant1",6,43,24
"324","Plant10",4,4,24
"325","Plant11",12,10,24
"326","Plant12",3,5,24
"327","Plant13",3,3,24
"328","Plant14",1,3,24
"329","Plant2",50,25,24
"330","Plant3",27,17,24
"331","Plant4",11,9,24
"332","Plant5",3,11,24
"333","Plant6",22,6,24
"334","Plant7",6,0,24
"335","Plant8",9,9,24
"336","Plant9",6,10,24
"337","Plant1",6,38,25
"338","Plant10",4,5,25
"339","Plant11",12,11,25
"340","Plant12",3,7,25
"341","Plant13",3,5,25
"342","Plant14",1,3,25
"343","Plant2",50,21,25
"344","Plant3",27,14,25
"345","Plant4",11,22,25
"346","Plant5",3,20,25
"347","Plant6",22,12,25
"348","Plant7",6,3,25
"349","Plant8",9,6,25
"350","Plant9",6,7,25
"351","Plant1",6,44,26
"352","Plant10",4,5,26
