"","species","interactions","outdegree","rep"
"171","Plant11",12,6,13
"172","Plant12",3,10,13
"173","Plant13",3,6,13
"174","Plant14",1,4,13
"175","Plant2",50,14,13
"176","Plant3",27,14,13
"177","Plant4",11,20,13
"178","Plant5",3,20,13
"179","Plant6",22,13,13
"180","Plant7",6,4,13
"181","Plant8",9,8,13
"182","Plant9",6,8,13
"183","Plant1",6,29,14
"184","Plant10",4,10,14
"185","Plant11",12,13,14
"186","Plant12",3,10,14
"187","Plant13",3,9,14
"188","Plant14",1,3,14
"189","Plant2",50,18,14
"190","Plant3",27,12,14
"191","Plant4",11,19,14
"192","Plant5",3,17,14
"193","Plant6",22,13,14
"194","Plant7",6,3,14
"195","Plant8",9,13,14
"196","Plant9",6,8,14
"197","Plant1",6,31,15
"198","Plant10",4,10,15
"199","Plant11",12,10,15
"200","Plant12",3,6,15
"201","Plant13",3,10,15
"202","Plant14",1,7,15
"203","Plant2",50,15,15
"204","Plant3",27,11,15
"205","Plant4",11,14,15
"206","Plant5",3,15,15
"207","Plant6",22,14,15
"208","Plant7",6,5,15
"209","Plant8",9,9,15
"210","Plant9",6,10,15
"211","Plant1",6,33,16
"212","Plant10",4,9,16
"213","Plant11",12,13,16
"214","Plant12",3,13,16
"215","Plant13",3,8,16
"216","Plant14",1,9,16
"217","Plant2",50,8,16
"218","Plant3",27,16,16
"219","Plant4",11,12,16
"220","Plant5",3,15,16
"221","Plant6",22,13,16
"222","Plant7",6,7,16
"223","Plant8",9,11,16
"224","Plant9",6,10,16
"225","Plant1",6,24,17
"226","Plant10",4,11,17
"227","Plant11",12,12,17
"228","Plant12",3,12,17
"229","Plant13",3,9,17
"230","Plant14",1,5,17
"231","Plant2",50,14,17
"232","Plant3",27,15,17
"233","Plant4",11,13,17
"234","Plant5",3,12,17
"235","Plant6",22,20,17
"236","Plant7",6,4,17
"237","Plant8",9,11,17
"238","Plant9",6,12,17
"239","Plant1",6,35,18
"240","Plant10",4,11,18
"241","Plant11",12,12,18
"242","Plant12",3,5,18
"243","Plant13",3,5,18
"244","Plant14",1,3,18
"245","Plant2",50,10,18
"246","Plant3",27,17,18
"247","Plant4",11,15,18
"248","Plant5",3,13,18
"249","Plant6",22,17,18
"250","Plant7",6,6,18
"251","Plant8",9,16,18
"252","Plant9",6,7,18
"253","Plant1",6,21,19
"254","Plant10",4,7,19
"255","Plant11",12,9,19
"256","Plant12",3,7,19
"257","Plant13",3,7,19
"258","Plant14",1,5,19
"259","Plant2",50,20,19
"260","Plant3",27,18,19
"261","Plant4",11,11,19
"262","Plant5",3,19,19
"263","Plant6",22,13,19
"264","Plant7",6,5,19
"265","Plant8",9,7,19
"266","Plant9",6,12,19
"267","Plant1",6,31,20
"268","Plant10",4,11,20
"269","Plant11",12,10,20
"270","Plant12",3,11,20
"271","Plant13",3,5,20
"272","Plant14",1,3,20
"273","Plant2",50,16,20
"274","Plant3",27,14,20
"275","Plant4",11,14,20
"276","Plant5",3,12,20
"277","Plant6",22,9,20
"278","Plant7",6,4,20
"279","Plant8",9,13,20
"280","Plant9",6,10,20
"281","Plant1",6,28,21
"282","Plant10",4,9,21
"283","Plant11",12,13,21
"284","Plant12",3,8,21
"285","Plant13",3,9,21
"286","Plant14",1,6,21
"287","Plant2",50,11,21
"288","Plant3",27,15,21
"289","Plant4",11,16,21
"290","Plant5",3,12,21
"291","Plant6",22,16,21
"292","Plant7",6,3,21
"293","Plant8",9,11,21
"294","Plant9",6,11,21
"295","Plant1",6,39,22
"296","Plant10",4,8,22
"297","Plant11",12,14,22
"298","Plant12",3,8,22
"299","Plant13",3,6,22
"300","Plant14",1,2,22
"301","Plant2",50,16,22
"302","Plant3",27,14,22
"303","Plant4",11,16,22
"304","Plant5",3,9,22
"305","Plant6",22,14,22
"306","Plant7",6,6,22
"307","Plant8",9,4,22
"308","Plant9",6,6,22
"309","Plant1",6,28,23
"310","Plant10",4,8,23
"311","Plant11",12,12,23
"312","Plant12",3,6,23
"313","Plant13",3,7,23
"314","Plant14",1,6,23
"315","Plant2",50,14,23
"316","Plant3",27,8,23
"317","Plant4",11,12,23
"318","Plant5",3,15,23
"319","Plant6",22,11,23
"320","Plant7",6,6,23
"321","Plant8",9,11,23
"322","Plant9",6,15,23
"323","Plant1",6,31,24
"324","Plant10",4,11,24
"325","Plant11",12,10,24
"326","Plant12",3,8,24
"327","Plant13",3,6,24
"328","Plant14",1,4,24
"329","Plant2",50,13,24
"330","Plant3",27,10,24
"331","Plant4",11,11,24
"332","Plant5",3,9,24
"333","Plant6",22,16,24
"334","Plant7",6,2,24
"335","Plant8",9,11,24
"336","Plant9",6,15,24
"337","Plant1",6,17,25
"338","Plant10",4,6,25
"339","Plant11",12,19,25
"340","Plant12",3,11,25
"341","Plant13",3,13,25
"342","Plant14",1,7,25
"343","Plant2",50,15,25
"344","Plant3",27,12,25
"345","Plant4",11,19,25
"346","Plant5",3,17,25
"347","Plant6",22,9,25
"348","Plant7",6,4,25
"349","Plant8",9,12,25
"350","Plant9",6,13,25
"351","Plant1",6,27,26
"352","Plant10",4,10,26
"353","Plant11",12,17,26
"354","Plant12",3,7,26
"355","Plant13",3,7,26
"356","Plant14",1,3,26
"357","Plant2",50,20,26
"358","Plant3",27,13,26
"359","Plant4",11,11,26
"360","Plant5",3,14,26
"361","Plant6",22,13,26
"362","Plant7",6,5,26
"363","Plant8",9,22,26
"364","Plant9",6,16,26
"365","Plant1",6,29,27
"366","Plant10",4,9,27
"367","Plant11",12,13,27
"368","Plant12",3,9,27
"369","Plant13",3,4,27
"370","Plant14",1,6,27
"371","Plant2",50,18,27
"372","Plant3",27,16,27
"373","Plant4",11,18,27
"374","Plant5",3,16,27
"375","Plant6",22,14,27
"376","Plant7",6,4,27
"377","Plant8",9,13,27
"378","Plant9",6,13,27
"379","Plant1",6,34,28
"380","Plant10",4,7,28
"381","Plant11",12,10,28
"382","Plant12",3,11,28
"383","Plant13",3,5,28
"384","Plant14",1,5,28
"385","Plant2",50,10,28
"386","Plant3",27,11,28
"387","Plant4",11,16,28
"388","Plant5",3,13,28
"389","Plant6",22,18,28
"390","Plant7",6,5,28
"391","Plant8",9,10,28
"392","Plant9",6,9,28
"393","Plant1",6,31,29
"394","Plant10",4,12,29
"395","Plant11",12,16,29
"396","Plant12",3,8,29
"397","Plant13",3,2,29
"398","Plant14",1,7,29
"399","Plant2",50,15,29
"400","Plant3",27,15,29
"401","Plant4",11,17,29
"402","Plant5",3,10,29
"403","Plant6",22,16,29
"404","Plant7",6,1,29
"405","Plant8",9,13,29
"406","Plant9",6,10,29
"407","Plant1",6,26,30
"408","Plant10",4,7,30
"409","Plant11",12,14,30
"410","Plant12",3,7,30
"411","Plant13",3,6,30
"412","Plant14",1,2,30
"413","Plant2",50,17,30
"414","Plant3",27,14,30
"415","Plant4",11,13,30
"416","Plant5",3,12,30
"417","Plant6",22,11,30
"418","Plant7",6,3,30
"419","Plant8",9,13,30
"420","Plant9",6,13,30
"421","Plant1",6,37,31
"422","Plant10",4,11,31
"423","Plant11",12,10,31
"424","Plant12",3,5,31
"425","Plant13",3,5,31
"426","Plant14",1,1,31
"427","Plant2",50,16,31
"428","Plant3",27,12,31
"429","Plant4",11,12,31
"430","Plant5",3,13,31
"431","Plant6",22,10,31
"432","Plant7",6,2,31
"433","Plant8",9,7,31
