"","species","interactions","outdegree","rep"
"1","Plant1",6,31,1
"2","Plant10",4,7,1
"3","Plant11",12,15,1
"4","Plant12",3,12,1
"5","Plant13",3,3,1
"6","Plant14",1,7,1
"7","Plant2",50,10,1
"8","Plant3",27,12,1
"9","Plant4",11,6,1
"10","Plant5",3,12,1
"11","Plant6",22,15,1
"12","Plant7",6,5,1
"13","Plant8",9,11,1
"14","Plant9",6,15,1
"15","Plant1",6,25,2
"16","Plant10",4,9,2
"17","Plant11",12,15,2
"18","Plant12",3,8,2
"19","Plant13",3,8,2
"20","Plant14",1,2,2
"21","Plant2",50,21,2
"22","Plant3",27,18,2
"23","Plant4",11,10,2
"24","Plant5",3,18,2
"25","Plant6",22,15,2
"26","Plant7",6,5,2
"27","Plant8",9,9,2
"28","Plant9",6,8,2
"29","Plant1",6,27,3
"30","Plant10",4,11,3
"31","Plant11",12,14,3
"32","Plant12",3,7,3
"33","Plant13",3,9,3
"34","Plant14",1,8,3
"35","Plant2",50,18,3
"36","Plant3",27,8,3
"37","Plant4",11,17,3
"38","Plant5",3,17,3
"39","Plant6",22,7,3
"40","Plant7",6,3,3
"41","Plant8",9,14,3
"42","Plant9",6,11,3
"43","Plant1",6,26,4
"44","Plant10",4,9,4
"45","Plant11",12,10,4
"46","Plant12",3,13,4
"47","Plant13",3,7,4
"48","Plant14",1,5,4
"49","Plant2",50,26,4
"50","Plant3",27,13,4
"51","Plant4",11,12,4
"52","Plant5",3,13,4
"53","Plant6",22,17,4
"54","Plant7",6,1,4
"55","Plant8",9,10,4
"56","Plant9",6,11,4
"57","Plant1",6,27,5
"58","Plant10",4,6,5
"59","Plant11",12,11,5
"60","Plant12",3,8,5
"61","Plant13",3,7,5
"62","Plant14",1,5,5
"63","Plant2",50,19,5
"64","Plant3",27,13,5
"65","Plant4",11,13,5
"66","Plant5",3,14,5
"67","Plant6",22,16,5
"68","Plant7",6,3,5
"69","Plant8",9,9,5
"70","Plant9",6,12,5
"71","Plant1",6,32,6
"72","Plant10",4,8,6
"73","Plant11",12,8,6
"74","Plant12",3,12,6
"75","Plant13",3,8,6
"76","Plant14",1,5,6
"77","Plant2",50,9,6
"78","Plant3",27,18,6
"79","Plant4",11,8,6
"80","Plant5",3,16,6
"81","Plant6",22,14,6
"82","Plant7",6,5,6
"83","Plant8",9,15,6
"84","Plant9",6,12,6
"85","Plant1",6,22,7
"86","Plant10",4,10,7
"87","Plant11",12,11,7
"88","Plant12",3,11,7
"89","Plant13",3,8,7
"90","Plant14",1,0,7
"91","Plant2",50,7,7
"92","Plant3",27,11,7
"93","Plant4",11,13,7
"94","Plant5",3,9,7
"95","Plant6",22,11,7
"96","Plant7",6,6,7
"97","Plant8",9,13,7
"98","Plant9",6,12,7
"99","Plant1",6,31,8
"100","Plant10",4,5,8
"101","Plant11",12,20,8
"102","Plant12",3,9,8
"103","Plant13",3,5,8
"104","Plant14",1,6,8
"105","Plant2",50,16,8
"106","Plant3",27,11,8
"107","Plant4",11,17,8
"108","Plant5",3,17,8
"109","Plant6",22,8,8
"110","Plant7",6,4,8
"111","Plant8",9,8,8
"112","Plant9",6,11,8
"113","Plant1",6,35,9
"114","Plant10",4,6,9
"115","Plant11",12,12,9
"116","Plant12",3,10,9
"117","Plant13",3,4,9
"118","Plant14",1,2,9
"119","Plant2",50,13,9
"120","Plant3",27,15,9
"121","Plant4",11,12,9
"122","Plant5",3,15,9
"123","Plant6",22,11,9
"124","Plant7",6,2,9
"125","Plant8",9,9,9
"126","Plant9",6,11,9
"127","Plant1",6,28,10
"128","Plant10",4,6,10
"129","Plant11",12,11,10
"130","Plant12",3,13,10
"131","Plant13",3,7,10
"132","Plant14",1,2,10
"133","Plant2",50,13,10
"134","Plant3",27,16,10
"135","Plant4",11,12,10
"136","Plant5",3,14,10
"137","Plant6",22,11,10
"138","Plant7",6,9,10
"139","Plant8",9,11,10
"140","Plant9",6,16,10
"141","Plant1",6,36,11
"142","Plant10",4,6,11
"143","Plant11",12,15,11
