"","species","interactions"
"1","Plant1",6
"2","Plant2",50
"3","Plant3",27
"4","Plant4",11
"5","Plant5",3
"6","Plant6",22
"7","Plant8",9
"8","Plant9",6
"9","Plant11",12
"10","Plant12",3
"11","Plant10",4
"12","Plant13",3
"13","Plant14",1
"14","Plant7",6
