"","species","total_pot_pred"
"1","Plant1",87
"88","Plant2",89
"177","Plant3",89
"266","Plant4",85
"351","Plant5",87
"438","Plant6",79
"517","Plant8",68
"585","Plant9",69
"654","Plant11",74
"728","Plant12",60
"788","Plant10",54
"842","Plant13",41
"883","Plant14",29
"912","Plant7",27
