"removal_fraction","mean_realised_links","mean_expected_links_raw","mean_relative_divergence_raw","sd_relative_divergence_raw","mean_abs_species_error_raw"
0,939,900.405902734709,0.0428629989519988,NA,1.85082666055324
0.1,895.39,833.802249292931,0.0742978079329503,0.016978202746241,1.83803695860004
0.2,844.83,756.392823250929,0.118165488125077,0.0300331552180432,1.8567369500594
0.4,733.53,604.53131607722,0.216503976884196,0.0487418224270622,1.93937419598146
0.6,592.15,433.245243774673,0.378298387276987,0.0984927331846743,2.17231668130005
0.8,393.95,239.993251613889,0.667118562619061,0.17130755755725,2.50842281136064
