"","species","interactions","potential_prey","prob_expected","prob_int","expected_indegree","mean_cooccurrence"
"1","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"2","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"3","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"4","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"5","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"6","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"7","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"8","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"9","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"10","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"11","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"12","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"13","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"14","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"15","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"16","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"17","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"18","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"19","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"20","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"21","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"22","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"23","Aaet",5,"AcalS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"24","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"25","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"26","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"27","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"28","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"29","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"30","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"31","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"32","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"33","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"34","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"35","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"36","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"37","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"38","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"39","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"40","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"41","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"42","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"43","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"44","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"45","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"46","Aaet",5,"AcurS",0.14238798353163,0.128700644830756,2.43710996813428,4.43478260869565
"47","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"48","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"49","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"50","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"51","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"52","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"53","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"54","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"55","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
"56","Aaet",5,"AglaS",0.119997783792548,0.10846274923847,2.43710996813428,4.43478260869565
