"","species","interactions"
"1","AcalS",5
"2","AcurS",16
"3","AglaS",4
"4","AquaA",13
"5","NqueS",20
"6","Amit",5
"7","Ppyg",4
"8","Tdod",1
"9","Teke",6
"10","ClonA",16
"11","Ealb",6
"12","Phy",11
"13","NantA",2
"14","AqueS",2
"15","Clon asex",2
"16","Colfllu",1
"17","AinfS",5
"18","Calc",1
"19","Phyhar",4
"20","NqueA",4
"21","Sti",2
"22","Col",1
"23","Phyque",2
