"source","model_rep","subset_id","removal_fraction","site_rep","n_sites_kept","n_observed_links","n_cooc_links","expected_links_raw","expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned"
"empirical",NA,1,0,1,32,113,524,106.82263782427,111.147781335628,6.17736217572957,0.0578282122736165,1.85221866437224,0.0166644681712466
"empirical",NA,2,0.1,1,29,108,504,99.4923984465533,103.374432691349,8.50760155344675,0.0855100659576217,4.6255673086508,0.0447457576136027
"empirical",NA,3,0.1,2,29,110,509,100.738725725279,105.475184953905,9.26127427472107,0.0919336055528156,4.52481504609517,0.0428993326541463
"empirical",NA,4,0.1,3,29,108,494,97.0908159856532,102.111822517415,10.9091840143468,0.112360617259194,5.88817748258467,0.0576640132104236
"empirical",NA,5,0.1,4,29,107,502,96.3789840386414,100.870593051646,10.6210159613586,0.11020053870977,6.12940694835358,0.0607650531529569
"empirical",NA,6,0.1,5,29,105,480,94.8021383584518,99.3089333069046,10.1978616415482,0.10756995378089,5.69106669309539,0.057306694408928
"empirical",NA,7,0.1,6,29,109,503,99.6408171150268,104.333918104823,9.35918288497317,0.0939292064834112,4.66608189517738,0.0447225790034018
"empirical",NA,8,0.1,7,29,103,499,98.9702042360305,102.782420075555,4.0297957639695,0.0407172622818782,0.217579924444962,0.00211689824276389
"empirical",NA,9,0.1,8,29,105,468,93.3261684896891,97.9105338004848,11.6738315103109,0.125086368584826,7.08946619951519,0.0724075942018823
"empirical",NA,10,0.1,9,29,105,506,99.6906395905805,104.35375410407,5.30936040941951,0.053258364388317,0.64624589592988,0.00619283801985112
"empirical",NA,11,0.1,10,29,107,510,99.4803251061642,103.882617326248,7.51967489383583,0.075589568950553,3.11738267375243,0.0300087036117136
"empirical",NA,12,0.1,11,29,107,487,93.504334403885,98.6805484859166,13.495665596115,0.14433197864199,8.31945151408344,0.0843069038602959
"empirical",NA,13,0.1,12,29,106,485,96.874909296603,101.730862281162,9.12509070339698,0.0941945728739583,4.26913771883792,0.0419650204776497
"empirical",NA,14,0.1,13,29,107,511,96.7571211052644,101.156607095119,10.2428788947356,0.105861757540224,5.84339290488063,0.0577658056421958
"empirical",NA,15,0.1,14,29,108,519,100.127210665762,104.689772687168,7.87278933423758,0.0786278703050859,3.31022731283196,0.0316193953608392
"empirical",NA,16,0.1,15,29,105,500,101.107563760034,104.134025989196,3.89243623996565,0.0384979728045257,0.865974010804337,0.00831595631282118
"empirical",NA,17,0.1,16,29,105,474,91.9234471886002,96.6120803841626,13.0765528113998,0.142254813231389,8.38791961583742,0.0868206085872925
"empirical",NA,18,0.1,17,29,108,517,98.4755987028636,102.998012362236,9.52440129713645,0.0967183893532347,5.00198763776368,0.0485639239344936
"empirical",NA,19,0.1,18,29,110,520,100.393555214583,104.773007726168,9.60644478541738,0.0956878632785185,5.22699227383249,0.0498887298100065
"empirical",NA,20,0.1,19,29,108,516,97.1700658326909,101.93191710782,10.8299341673091,0.111453399506349,6.06808289217967,0.0595307442884749
"empirical",NA,21,0.1,20,29,106,491,95.3587428571724,99.9220561680058,10.6412571428276,0.111591835462491,6.07794383199422,0.0608268490970097
"empirical",NA,22,0.1,21,29,111,523,104.205707921746,108.576120636496,6.79429207825424,0.0652007669614075,2.42387936350359,0.0223242398908184
"empirical",NA,23,0.1,22,29,111,519,103.318812325044,107.819273779172,7.68118767495565,0.0743445216035816,3.18072622082836,0.0295005346385741
"empirical",NA,24,0.1,23,29,106,491,97.7479048447892,102.432992149475,8.25209515521081,0.0844222202850696,3.56700785052512,0.0348228415052054
"empirical",NA,25,0.1,24,29,105,487,97.0842505031183,101.338865623228,7.91574949688166,0.0815348468557977,3.66113437677153,0.0361276431727921
"empirical",NA,26,0.1,25,29,111,523,104.707716771979,109.048852601435,6.29228322802106,0.0600937869911127,1.95114739856493,0.0178924156652635
"empirical",NA,27,0.1,26,29,105,509,98.2080661040428,102.733565145263,6.79193389595723,0.0691586156351126,2.26643485473718,0.0220612888449116
"empirical",NA,28,0.1,27,29,108,513,99.0627223703876,103.650012825865,8.93727762961242,0.090218372923335,4.34998717413463,0.0419680331486568
