"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Bconju","Ovimin",1,3,0.333333333333333,"empirical",NA
"Bdisco","Obella",1,2,0.5,"empirical",NA
"Bdisco","Obridg",2,3,0.666666666666667,"empirical",NA
"Bdisco","Ofoeti",1,1,1,"empirical",NA
"Bdisco","Oproxi",8,8,1,"empirical",NA
"Bdisco","Ovaria",1,3,0.333333333333333,"empirical",NA
"Bdisco","Ovesic",3,5,0.6,"empirical",NA
"Bepitr","Oadaph",1,2,0.5,"empirical",NA
"Bepitr","Obella",1,1,1,"empirical",NA
"Bepitr","Ogalla",1,1,1,"empirical",NA
"Bepitr","Okriec",1,2,0.5,"empirical",NA
"Bepitr","Onival",1,1,1,"empirical",NA
"Bepitr","Oobscu",1,1,1,"empirical",NA
"Bepitr","Ovesic",3,5,0.6,"empirical",NA
"Bepitr","Ovimin",3,6,0.5,"empirical",NA
"Bimmut","Enigri",1,1,1,"empirical",NA
"Bimmut","Obrevi",1,1,1,"empirical",NA
"Bimmut","Opprox",2,2,1,"empirical",NA
"Bimmut","Oproxi",1,1,1,"empirical",NA
"Binter","Oadaph",1,1,1,"empirical",NA
"Binter","Obella",2,2,1,"empirical",NA
"Binter","Obridg",1,4,0.25,"empirical",NA
"Binter","Ofoeti",1,1,1,"empirical",NA
"Binter","Okriec",1,1,1,"empirical",NA
"Binter","Onigri",1,1,1,"empirical",NA
"Binter","Ovesic",3,4,0.75,"empirical",NA
"Binter","Ovimin",3,6,0.5,"empirical",NA
"Bkopel","Obrevi",2,2,1,"empirical",NA
"Bkopel","Obridg",1,2,0.5,"empirical",NA
"Bkopel","Ofoeti",1,3,0.333333333333333,"empirical",NA
"Bkopel","Oglauc",1,1,1,"empirical",NA
"Bkopel","Oherba",4,4,1,"empirical",NA
"Bkopel","Oobscu",2,3,0.666666666666667,"empirical",NA
"Bkopel","Opprox",1,1,1,"empirical",NA
"Bkopel","Oproxi",1,1,1,"empirical",NA
"Bkopel","Oretic",2,6,0.333333333333333,"empirical",NA
"Bkopel","Ovaria",1,4,0.25,"empirical",NA
"Blivid","Ovesic",1,1,1,"empirical",NA
"Blivid","Ovimin",1,2,0.5,"empirical",NA
"Bobscu","Obrevi",1,2,0.5,"empirical",NA
"Bobscu","Ovaria",1,1,1,"empirical",NA
"Bpicti","Ogalla",2,2,1,"empirical",NA
"Bpicti","Okriec",1,1,1,"empirical",NA
"Bpicti","Ovaria",1,1,1,"empirical",NA
"Bpicti","Ovesic",3,3,1,"empirical",NA
"Bpicti","Ovimin",1,3,0.333333333333333,"empirical",NA
"Bpulch","Okriec",1,1,1,"empirical",NA
"Bpulch","Ovesic",2,2,1,"empirical",NA
"Bracin","Eboreo",1,5,0.2,"empirical",NA
"Bracin","Eelaea",1,5,0.2,"empirical",NA
"Bracin","Elappo",1,7,0.142857142857143,"empirical",NA
"Bracin","Enigri",1,1,1,"empirical",NA
"Bracin","Eweiff",1,2,0.5,"empirical",NA
"Bracin","Hacuti",1,4,0.25,"empirical",NA
"Bracin","Hangli",2,7,0.285714285714286,"empirical",NA
"Bracin","Hanoma",1,4,0.25,"empirical",NA
"Bracin","Hischn",1,9,0.111111111111111,"empirical",NA
"Bracin","Hleuca",1,7,0.142857142857143,"empirical",NA
