"","species","interactions","potential_prey","prob_expected","prob_int","expected_indegree","relative_N_alpha"
"69","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"70","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"71","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"72","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"73","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"74","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"75","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"76","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"77","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"78","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"79","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"80","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"81","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"82","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"83","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"84","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"85","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"86","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"87","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"88","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"89","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"90","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"91","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"92","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"93","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"94","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"95","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"96","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"97","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"98","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
