"","species","interactions","prob_expected","expected_outdegree","mean_cooccurrence"
"1","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"2","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"3","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"4","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"5","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"6","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"7","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"8","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"9","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"10","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"11","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"12","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"13","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"14","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"15","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"16","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"17","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"18","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"19","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"20","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"21","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"22","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"23","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"24","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"25","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"26","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"27","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"28","Ampulex ruficollis",1,0.212357630185533,4.69598384063473,2.03571428571429
"29","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"30","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"31","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"32","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"33","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"34","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"35","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"36","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"37","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"38","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"39","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"40","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"41","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"42","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"43","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"44","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"45","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"46","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"47","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"48","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"49","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"50","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"51","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"52","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"53","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
"54","Ampulex ruficollis",1,0.0862013404673336,4.69598384063473,2.03571428571429
