"","species","total_pot_pred"
"1","CAL",40
"41","ROF",167
"208","TVUF",170
"378","TVUH",164
"542","EFL",112
"654","EMU",16
"670","CSA",76
"746","CSP",55
"801","BLA",44
"845","FAB",17
"862","HOE",106
"968","RGR",17
"985","PRUNUS",9
"994","ECH",48
"1042","OLA",76
"1118","UMBE",13
"1131","FLA",55
"1186","AMO",40
"1226","POT",21
"1247","LIN",5
"1252","DPE",24
"1276","ESE",26
"1302","SHI",26
"1328","AZA",28
