"","species","interactions"
"1","CAL",7
"2","ROF",79
"3","TVUF",62
"4","TVUH",55
"5","EFL",32
"6","EMU",1
"7","CSA",18
"8","CSP",4
"9","BLA",6
"10","FAB",1
"11","HOE",23
"12","RGR",2
"13","PRUNUS",2
"14","ECH",7
"15","OLA",4
"16","UMBE",1
"17","FLA",7
"18","AMO",5
"19","POT",1
"20","LIN",1
"21","DPE",2
"22","ESE",3
"23","SHI",1
"24","AZA",1
