"source","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
"empirical",113,3.21238938053097,1,15.8,26,0.504424778761062,0.606999576912246,0.545454545454545
"model_generated",106442,1.25613009902106,1,2,9,0.809389150899081,0.363722053371122,0.25
